path,text
/storage/speech_dataset/TAT/TAT-Vol1-train/condenser/wav/IU_IUM0007/0020-2.5-03.wav,tsu7-tsi2 ti7 to2-ui7?
/storage/speech_dataset/TAT/TAT-Vol1-train/condenser/wav/IU_IUM0007/0020-6.35-03.wav,u7 tsun2-pi7 e5 lang5 to7 e7 sun7-li7 hiong3-tsian5 kiann5.
/storage/speech_dataset/TAT/TAT-Vol1-train/condenser/wav/IU_IUM0007/0020-4.10-03.wav,pun2 si7 kiong5-tiau7 tsu5-pi1 ti3-hui7.
/storage/speech_dataset/TAT/TAT-Vol1-train/condenser/wav/IU_IUM0007/0020-5.18-03.wav,tsiah4-e7-tang1 ui5-tshi5--loh8-khi3.
/storage/speech_dataset/TAT/TAT-Vol1-train/condenser/wav/IU_IUM0007/0020-3.19-03.wav,tso3 kui2-lo7 pai2 kuat4-ting7-sing3 e5 kai2-pian3.
/storage/speech_dataset/TAT/TAT-Vol1-train/condenser/wav/IU_IUM0007/0020-4.32-03.wav,ho5-kai2 ing3-kai1 lau5 hoo7 siu7-hai7-tsia2 kuat4-ting7.
/storage/speech_dataset/TAT/TAT-Vol1-train/condenser/wav/IU_IUM0007/0020-3.30-03.wav,siau3-siunn7 beh4 tshong3-tso7 kong1-si1 ka1-pue7 siau1-siu7 ham7 the5-sing1 hok8-bu7 tsit4-liong7 e5 tso3-huat4.
/storage/speech_dataset/TAT/TAT-Vol1-train/condenser/wav/IU_IUM0007/0020-6.27-03.wav,"tsit8 pun2 tsit8 pun2 thiap8 kah4 bo5 ui7 e5 tsheh4,tsit8 pak4 tsit8 pak4 e5 iu5-ue7,san1-sui2-ue7."
/storage/speech_dataset/TAT/TAT-Vol1-train/condenser/wav/IU_IUM0007/0020-5.6-03.wav,ku7-ni5 BONG po3 tu2-tsiah4 khai1-si2 e5 si5.
/storage/speech_dataset/TAT/TAT-Vol1-train/condenser/wav/IU_IUM0007/0020-4.1-03.wav,tsuan2-hing5 tsing3-gi7 bo5 ing3-kai1 u7 ho5-kai2 e5 thai7-too7.
/storage/speech_dataset/TAT/TAT-Vol1-train/condenser/wav/IU_IUM0007/0020-5.56-03.wav,hoo7 lan2 u7 sin3-sim1 koh4 kiann5--loh8-khi3;.
